Refseq	Symbol	Chr	Start	End	Strand	txLength	countLength	basal1	basal2	treat1	treat2
R3HCC1L	R3HCC1L	chrx	1	1	.	3559	3559	61	67	62	63
MIR1287	MIR1287	chrx	1	1	.	90	90	0	0	0	0
MIR4685	MIR4685	chrx	1	1	.	69	69	0	0	0	0
HPSE2	HPSE2	chrx	1	1	.	2365	2365	0	0	0	25
CNNM1	CNNM1	chrx	1	1	.	6413	6413	0	0	8	3
GOT1	GOT1	chrx	1	1	.	2648	2648	1393	1552	2097	1399
snoU13	snoU13	chrx	1	1	.	48728	48728	36	48	34	59
DNMBP	DNMBP	chrx	1	1	.	8634	8634	9122	11338	6915	11011
AL359878.1	AL359878.1	chrx	1	1	.	1875	1875	8	0	0	0
CWF19L1	CWF19L1	chrx	1	1	.	3985	3985	394	471	296	311
SNORA12	SNORA12	chrx	1	1	.	451	451	0	14	0	6
RNU6-422P	RNU6-422P	chrx	1	1	.	107	107	0	0	0	0
PKD2L1	PKD2L1	chrx	1	1	.	3073	3073	0	0	0	0
AL139819.1	AL139819.1	chrx	1	1	.	1972	1972	0	0	0	0
Y_RNA	Y_RNA	chrx	1	1	.	86910	86910	355	614	325	485
TCEB1P3	TCEB1P3	chrx	1	1	.	348	348	0	0	0	0
SEC31B	SEC31B	chrx	1	1	.	8360	8360	480	353	229	428
NDUFB8	NDUFB8	chrx	1	1	.	3463	3463	332	430	244	694
PAX2	PAX2	chrx	1	1	.	6243	6243	0	0	0	0
MIR608	MIR608	chrx	1	1	.	100	100	0	0	0	0
MRPL43	MRPL43	chrx	1	1	.	3573	3573	2013	2114	1453	2023
SFXN3	SFXN3	chrx	1	1	.	4628	4628	6340	8219	5236	9089
HUG1	HUG1	chrx	1	1	.	1089	1089	0	0	0	0
SNORD112	SNORD112	chrx	1	1	.	3410	3410	15	0	0	0
RNU2-43P	RNU2-43P	chrx	1	1	.	190	190	0	0	0	0
BTRC	BTRC	chrx	1	1	.	6583	6583	1357	2236	1201	2235
RNU2-59P	RNU2-59P	chrx	1	1	.	191	191	9	12	0	0
DPCD	DPCD	chrx	1	1	.	2670	2670	78	268	102	282
POLL	POLL	chrx	1	1	.	5734	5734	1386	2149	917	2490
MIR3158-1	MIR3158-1	chrx	1	1	.	81	81	0	0	0	0
RNU6-1165P	RNU6-1165P	chrx	1	1	.	107	107	0	0	0	0
GTPBP4	GTPBP4	chrx	1	1	.	6161	6161	995	1171	779	1406
MGEA5	MGEA5	chrx	1	1	.	7602	7602	2050	1527	1980	2701
KCNIP2	KCNIP2	chrx	1	1	.	3294	3294	0	16	0	54
LDB1	LDB1	chrx	1	1	.	2790	2790	6883	9295	6499	9513
PPRC1	PPRC1	chrx	1	1	.	6053	6053	15849	18950	12372	20450
NOLC1	NOLC1	chrx	1	1	.	3969	3969	13865	16063	11394	16222
AL160011.1	AL160011.1	chrx	1	1	.	77	77	0	0	0	0
PSD	PSD	chrx	1	1	.	6327	6327	19	0	19	0
FBXL15	FBXL15	chrx	1	1	.	2593	2593	88	87	49	68
MIR146B	MIR146B	chrx	1	1	.	73	73	0	0	0	0
TMEM180	TMEM180	chrx	1	1	.	3821	3821	166	321	112	365
ACTR1A	ACTR1A	chrx	1	1	.	4341	4341	15107	20556	12807	20979
RN7SL21P	RN7SL21P	chrx	1	1	.	280	280	0	0	0	0
RNU6-43P	RNU6-43P	chrx	1	1	.	107	107	0	0	0	0
WBP1L	WBP1L	chrx	1	1	.	4278	4278	3637	5359	3604	5225
RNU6-1231P	RNU6-1231P	chrx	1	1	.	103	103	0	0	0	21
RNU6-372P	RNU6-372P	chrx	1	1	.	99	99	0	0	0	0
NT5C2	NT5C2	chrx	1	1	.	7320	7320	699	924	826	897
RNU11-3P	RNU11-3P	chrx	1	1	.	133	133	0	0	0	0
TAF5	TAF5	chrx	1	1	.	3268	3268	6	53	21	65
MIR1307	MIR1307	chrx	1	1	.	149	149	0	0	0	0
