Refseq	Symbol	Chr	Start	End	Strand	txLength	countLength	basal1	basal2	treat1	treat2
DDX11L1	DDX11L1	chrx	1	1	.	782	782	0	0	0	0
WASH7P	WASH7P	chrx	1	1	.	13347	13347	5	70	27	99
MIR1302-11	MIR1302-11	chrx	1	1	.	531	531	0	0	0	0
FAM138A	FAM138A	chrx	1	1	.	305	305	0	0	0	0
OR4G4P	OR4G4P	chrx	1	1	.	1515	1515	0	0	0	0
RP11-34P13.7	RP11-34P13.7	chrx	1	1	.	40691	40691	0	10	0	0
AL627309.1	AL627309.1	chrx	1	1	.	1723	1723	46	2	71	16
RP11-34P13.14	RP11-34P13.14	chrx	1	1	.	225	225	0	0	0	16
RP11-34P13.13	RP11-34P13.13	chrx	1	1	.	26070	26070	60	24	95	72
RP11-34P13.9	RP11-34P13.9	chrx	1	1	.	621	621	0	0	0	0
AP006222.2	AP006222.2	chrx	1	1	.	35673	35673	0	0	16	0
RP4-669L17.10	RP4-669L17.10	chrx	1	1	.	128067	128067	2	0	0	1
RP4-669L17.8	RP4-669L17.8	chrx	1	1	.	776	776	0	0	0	0
CICP7	CICP7	chrx	1	1	.	327	327	0	0	0	0
RP4-669L17.2	RP4-669L17.2	chrx	1	1	.	6211	6211	0	0	0	0
RP5-857K21.15	RP5-857K21.15	chrx	1	1	.	1619	1619	0	0	0	0
RP5-857K21.1	RP5-857K21.1	chrx	1	1	.	1619	1619	0	0	0	0
RP5-857K21.2	RP5-857K21.2	chrx	1	1	.	6503	6503	0	0	0	0
RP5-857K21.3	RP5-857K21.3	chrx	1	1	.	2403	2403	0	0	0	0
RP5-857K21.4	RP5-857K21.4	chrx	1	1	.	119601	119601	0	0	0	7
RP5-857K21.5	RP5-857K21.5	chrx	1	1	.	828	828	0	0	0	0
CICP3	CICP3	chrx	1	1	.	355	355	0	0	0	0
RP11-206L10.1	RP11-206L10.1	chrx	1	1	.	679	679	0	0	0	0
RP11-206L10.3	RP11-206L10.3	chrx	1	1	.	3342	3342	18	2	0	0
RP11-206L10.5	RP11-206L10.5	chrx	1	1	.	5597	5597	0	10	0	0
RP11-206L10.4	RP11-206L10.4	chrx	1	1	.	621	621	0	0	0	0
RP11-206L10.2	RP11-206L10.2	chrx	1	1	.	12441	12441	55	0	0	28
RP11-206L10.9	RP11-206L10.9	chrx	1	1	.	25748	25748	4	60	8	17
RP11-206L10.8	RP11-206L10.8	chrx	1	1	.	8619	8619	0	4	9	23
AL669831.1	AL669831.1	chrx	1	1	.	473	473	0	0	0	0
RP11-206L10.10	RP11-206L10.10	chrx	1	1	.	7200	7200	135	9	70	104
FAM87B	FAM87B	chrx	1	1	.	518	518	0	0	0	0
RP11-206L10.11	RP11-206L10.11	chrx	1	1	.	23296	23296	246	160	91	261
FAM41C	FAM41C	chrx	1	1	.	6854	6854	0	0	0	0
AL645608.2	AL645608.2	chrx	1	1	.	1880	1880	0	0	0	0
RP11-54O7.16	RP11-54O7.16	chrx	1	1	.	7720	7720	0	1	21	5
RP11-54O7.1	RP11-54O7.1	chrx	1	1	.	469	469	0	0	0	0
SAMD11	SAMD11	chrx	1	1	.	16465	16465	28	30	0	25
AL645608.1	AL645608.1	chrx	1	1	.	4833	4833	0	0	0	0
NOC2L	NOC2L	chrx	1	1	.	9531	9531	213	224	200	361
KLHL17	KLHL17	chrx	1	1	.	1716	1716	61	86	24	66
PLEKHN1	PLEKHN1	chrx	1	1	.	6507	6507	13	51	23	72
C1orf170	C1orf170	chrx	1	1	.	3830	3830	0	0	0	0
HES4	HES4	chrx	1	1	.	91	91	3	0	0	0
RP11-54O7.11	RP11-54O7.11	chrx	1	1	.	724	724	0	0	0	0
ISG15	ISG15	chrx	1	1	.	405	405	0	0	0	0
AGRN	AGRN	chrx	1	1	.	25164	25164	129	144	164	536
RP11-465B22.3	RP11-465B22.3	chrx	1	1	.	7425	7425	0	0	0	0
RP11-54O7.18	RP11-54O7.18	chrx	1	1	.	250	250	0	0	0	0
RNF223	RNF223	chrx	1	1	.	1438	1438	0	0	0	4
C1orf159	C1orf159	chrx	1	1	.	28204	28204	37	126	55	111
RP11-465B22.5	RP11-465B22.5	chrx	1	1	.	5416	5416	0	0	0	0
TTLL10	TTLL10	chrx	1	1	.	20079	20079	0	0	0	0
TNFRSF18	TNFRSF18	chrx	1	1	.	1807	1807	0	0	0	0
TNFRSF4	TNFRSF4	chrx	1	1	.	1084	1084	0	0	0	0
SDF4	SDF4	chrx	1	1	.	10403	10403	82	236	5	272
FAM132A	FAM132A	chrx	1	1	.	2475	2475	0	0	0	0
UBE2J2	UBE2J2	chrx	1	1	.	15245	15245	157	67	61	103
RP5-902P8.10	RP5-902P8.10	chrx	1	1	.	4681	4681	0	0	0	0
SCNN1D	SCNN1D	chrx	1	1	.	7539	7539	0	1	9	0
ACAP3	ACAP3	chrx	1	1	.	8379	8379	39	67	31	1
PUSL1	PUSL1	chrx	1	1	.	614	614	0	1	0	0
CPSF3L	CPSF3L	chrx	1	1	.	4494	4494	164	162	134	237
RP5-890O3.9	RP5-890O3.9	chrx	1	1	.	721	721	0	0	0	0
GLTPD1	GLTPD1	chrx	1	1	.	1580	1580	71	49	23	62
TAS1R3	TAS1R3	chrx	1	1	.	550	550	0	0	0	0
DVL1	DVL1	chrx	1	1	.	10563	10563	12	18	13	1
MXRA8	MXRA8	chrx	1	1	.	5706	5706	8	0	0	0
AURKAIP1	AURKAIP1	chrx	1	1	.	95	95	0	0	0	0
CCNL2	CCNL2	chrx	1	1	.	6760	6760	68	53	82	74
MRPL20	MRPL20	chrx	1	1	.	2616	2616	20	38	26	0
ANKRD65	ANKRD65	chrx	1	1	.	702	702	0	0	0	0
RP4-758J18.7	RP4-758J18.7	chrx	1	1	.	1902	1902	0	0	0	0
TMEM88B	TMEM88B	chrx	1	1	.	1166	1166	0	0	0	0
RP4-758J18.10	RP4-758J18.10	chrx	1	1	.	3180	3180	0	0	0	0
VWA1	VWA1	chrx	1	1	.	2953	2953	0	0	0	0
ATAD3C	ATAD3C	chrx	1	1	.	16472	16472	0	0	0	23
ATAD3B	ATAD3B	chrx	1	1	.	18312	18312	381	588	352	442
ATAD3A	ATAD3A	chrx	1	1	.	19434	19434	245	259	185	269
TMEM240	TMEM240	chrx	1	1	.	4520	4520	19	0	4	30
SSU72	SSU72	chrx	1	1	.	27761	27761	56	156	93	50
MIB2	MIB2	chrx	1	1	.	6404	6404	1	27	52	2
MMP23B	MMP23B	chrx	1	1	.	886	886	0	0	0	0
CDK11B	CDK11B	chrx	1	1	.	16695	16695	96	65	106	2
RP11-345P4.10	RP11-345P4.10	chrx	1	1	.	2876	2876	152	47	131	142
SLC35E2B	SLC35E2B	chrx	1	1	.	23423	23423	136	171	119	215
RP11-345P4.6	RP11-345P4.6	chrx	1	1	.	587	587	0	0	0	0
MMP23A	MMP23A	chrx	1	1	.	747	747	0	0	0	0
CDK11A	CDK11A	chrx	1	1	.	16863	16863	5	22	38	26
RP1-283E3.4	RP1-283E3.4	chrx	1	1	.	9973	9973	10	2	18	20
SLC35E2	SLC35E2	chrx	1	1	.	16221	16221	621	1046	620	1097
NADK	NADK	chrx	1	1	.	23557	23557	154	240	156	113
GNB1	GNB1	chrx	1	1	.	99388	99388	490	539	778	878
RP1-140A9.1	RP1-140A9.1	chrx	1	1	.	280	280	19	44	3	43
CALML6	CALML6	chrx	1	1	.	145	145	0	0	0	0
TMEM52	TMEM52	chrx	1	1	.	88	88	0	0	0	0
C1orf222	C1orf222	chrx	1	1	.	71409	71409	0	0	0	0
RP11-547D24.1	RP11-547D24.1	chrx	1	1	.	362	362	0	0	0	0
GABRD	GABRD	chrx	1	1	.	9484	9484	0	0	0	0
RP11-547D24.3	RP11-547D24.3	chrx	1	1	.	326	326	0	0	0	0
PRKCZ	PRKCZ	chrx	1	1	.	127226	127226	9	0	0	0
C1orf86	C1orf86	chrx	1	1	.	16983	16983	85	231	62	117
RP11-181G12.4	RP11-181G12.4	chrx	1	1	.	7888	7888	0	3	46	18
SKI	SKI	chrx	1	1	.	75333	75333	638	395	708	676
MORN1	MORN1	chrx	1	1	.	57608	57608	215	329	177	307
RER1	RER1	chrx	1	1	.	7965	7965	81	210	67	126
PEX10	PEX10	chrx	1	1	.	6025	6025	159	332	292	271
PLCH2	PLCH2	chrx	1	1	.	68731	68731	2	10	42	0
RP3-395M20.2	RP3-395M20.2	chrx	1	1	.	502	502	0	0	0	0
RP3-395M20.3	RP3-395M20.3	chrx	1	1	.	527	527	0	0	0	0
PANK4	PANK4	chrx	1	1	.	12951	12951	228	214	66	233
HES5	HES5	chrx	1	1	.	191	191	0	0	0	0
